City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-33.48,100,88,1.05,RU,1707971185
1,keflavik,64.0049,-22.5624,1.24,93,40,4.12,IS,1707971185
2,ushuaia,-54.8,-68.3,7.81,66,0,9.26,AR,1707971185
3,talnakh,69.4865,88.3972,-25.66,94,87,1.68,RU,1707971186
4,west island,-12.1568,96.8225,30.99,58,86,5.66,CC,1707971186
5,qaqortoq,60.7167,-46.0333,-1.89,91,100,3.72,GL,1707971186
6,jamestown,42.097,-79.2353,-2.23,69,100,2.68,US,1707971118
7,grytviken,-54.2811,-36.5092,2.79,77,12,7.16,GS,1707971186
8,aykhal,66.0,111.5,-24.58,95,100,1.17,RU,1707971186
9,papatowai,-46.5619,169.4708,10.6,94,100,2.31,NZ,1707971186
10,valparaiso,-33.0393,-71.6273,16.8,88,40,2.06,CL,1707971186
11,longyearbyen,78.2186,15.6401,1.91,80,75,8.23,SJ,1707971187
12,tolanaro,-25.0319,46.9987,25.04,94,75,4.12,MG,1707971187
13,bethel,41.3712,-73.414,-2.36,58,0,4.12,US,1707971187
14,bilibino,68.0546,166.4372,-29.36,97,100,1.07,RU,1707971187
15,papao,-17.75,-149.55,28.82,76,96,8.17,PF,1707971187
16,puerto natales,-51.7236,-72.4875,8.09,94,99,1.05,CL,1707971187
17,nuuk,64.1835,-51.7216,-8.66,73,92,3.6,GL,1707971187
18,broken hill,-31.95,141.4333,27.53,14,4,5.13,AU,1707971188
19,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,90,75,4.0,RU,1707971188
20,albany,42.6001,-73.9662,-4.22,60,2,3.13,US,1707970944
21,road town,18.4167,-64.6167,25.05,76,89,2.83,VG,1707971188
22,hadibu,12.65,54.0333,24.62,74,37,4.76,YE,1707971188
23,isafjordur,66.0755,-23.124,-9.34,88,84,2.08,IS,1707971188
24,olonkinbyen,70.9221,-8.7187,-7.09,75,83,16.22,SJ,1707971188
25,adamstown,-25.066,-130.1015,25.3,87,2,6.94,PN,1707971188
26,tonala,20.6167,-103.2333,12.51,71,100,2.06,MX,1707971189
27,mizan teferi,6.9833,35.5833,19.29,75,96,0.99,ET,1707971189
28,vorkuta,67.5,64.0,-34.04,100,96,2.14,RU,1707971189
29,minas de marcona,-15.2119,-75.1103,19.93,79,100,4.66,PE,1707971189
30,blackmans bay,-43.0167,147.3167,23.62,40,13,2.62,AU,1707971189
31,ghat,24.9647,10.1728,11.95,40,20,2.93,LY,1707971189
32,iquique,-20.2208,-70.1431,23.02,75,86,0.91,CL,1707971062
33,macas,-2.3167,-78.1167,19.85,99,100,0.61,EC,1707971189
34,boguchany,58.3814,97.4531,-10.08,84,100,5.81,RU,1707971190
35,fenghua,29.6563,121.4064,9.94,87,75,6.0,CN,1707971190
36,plettenberg bay,-34.0527,23.3716,18.19,87,100,2.69,ZA,1707971190
37,areka,7.0667,37.7,17.51,82,98,1.45,ET,1707971190
38,hassi messaoud,31.6804,6.0729,10.92,54,0,2.06,DZ,1707971190
39,dudinka,69.4058,86.1778,-26.29,97,34,3.13,RU,1707971190
40,waitangi,-43.9535,-176.5597,18.23,89,1,10.31,NZ,1707971191
41,port-aux-francais,-49.35,70.2167,9.25,90,100,13.78,TF,1707971191
42,yellowknife,62.456,-114.3525,-25.95,83,20,2.57,CA,1707971191
43,ust'-kut,56.7938,105.7672,-11.17,84,100,2.18,RU,1707971191
